,Requirement
563,The system shall send a one-time password to the user phone for the completion of the login process 
564,The system shall allow generation of public and private keys.  These keys will be used for encryption and decryption of the AES symmetric key for a safer key exchange  
565,The system shall allow the user to encrypt/decrypt messages using AES algorithm 
566,The system shall allow the user to check for data integrity using MD5 hash algorithm 
567,The system shall allow the user to embed the encrypted message and retrieve encrypted message from the image using LBS technique 
568,The system can perform well in the web environments and it can also allow multiple clients to login and communicate at the same time. 
569,The system is easy to use and it is user friendly as it is based and implemented on a website and has an interactive interface.  
570,The system has clearly defined links and buttons that show the various functionalities that the user may require 
571,The system interface supports efficiency of use 
572,The system shall allow uploading or viewing messages 
573,The system shall allow for checking data integrity 
574,The system shall support embedding or retrieving message from the image without user errors. 
575,"The system shall offer high level security, as it shall give access to authorized users only, "
576,The system must also allow users to communicate securely knowing that their confidential data is safe from eavesdroppers. 
577,The system should have a good interface easy to use and should have buttons with labels to assist users to accomplish their goal communicating confidential results in a secure manner.
578,The system should have a clear presentation of elements and it must also be interactive and provides help information to help the clients and give them guidance on how to use the system. 
579,The system shall be able to detect spam messages and direct them to spam in real time 
580,The system shall enable users to classify messages as spam if misclassified as ham 
581,The system shall enable users to classify messages as ham if misclassified as spam 
582,The system shall be able to allow process of filtering the email to be executed in a fast manner since the classifier is only focused on the text within the mail 
583,The system shall be able to ensure the performance of the classifier is determined by the bandwidth of the receiver but the classifier takes no time in processing the text contents of the email 
584,The system shall be able to ensure the performance of the classifier is determined by the time taken to correctly classify emails and the time taken to classify
585,The system will be very reliable in classifying the emails correctly as ham or spam since a large dataset was used to train the classifier with various emails labeled as ham and spam respectively. 
586,The system will deliver emails whenever there is internet connection to receive the emails with minimal downtimes 
587,The system will operate round the clock 
588,The system shall be able to ensure the user passwords and data will be encrypted to ensure that user information is secured 
589,The system shall be able to ensure the user access controls will be put in place to restrict unauthorized users to access user accounts 
590,The system shall be able to be easily maintained and updated with new data that emerge since the spammers will be trying to bypass the filter with new tricks being employed. 
591,The system can be implemented on any mail server with only a few configurations taking place to suit the framework used on developing the mail server 
592,"The system will have a homepage which will be responsible for redirecting the user to the desired page, this can be a login page where the user will login to his email account or a registration page where the user creates an email account. "
593,The system shall have a registration page to capture and verify the details of the new user to see if the provided information conforms to the requirements of the system. 
594,"The system shall be able to ensure the information provided include a unique username, password and some personal details which are needed to verify that the user is eligible to create an account. "
595, The system shall have an optional email field for recovery in case one forgets password the reset link will be sent to that email with instructions 
596,The system login page is for already existing users where they provide their unique username and password for verification and once the details are verified they are redirected to mailbox. 
597,The system mailbox is responsible for displaying the emails of the logged in user as well as all the spam emails and it will have a dashboard to navigate through the emails. 
598,"The system shall provide supervisors with ad hoc reports for decision making,�"
599,The system shall provide administrator with security to data to make sure that unauthorized users do not access the information. 
600,The system shall provide all the internal users a backup of the operational and transactional data. 
601,The system shall provide users with a system that is error free and efficient in capturing and retrieving information. 
602,The system shall provide customers with a system that is error free and process their cases quickly.
603,The system should be easy to maintain and it should be modifiable.
604,The system should be computer based. 
605,The system should have access control mechanism that take into account the use of passwords and individuals access rights.  
606,Each user is to be configured with a unique User Name and a password that can be changed when it is necessary.  
607,The system super administrator should be able to grant access privilege to users and restrict access of information and data users can view or modify at any given time.  
608,The system should have the ability to validate entered data hence reducing redundancy and duplication in the database. 
609,The system should use report �generating modules to produce reports that can be conveniently used by management in decision making. 
610,The system should have a user-friendly interface which is easy to use and accommodate all types of impairments such as visual impairments. 
611,The system should incorporate easier search mechanism that can assist users in retrieving and searching the required information. 
612,The system should reduce the workload and the amount of information to be entered through creating automatic updates between related tables and queries in the database. 
613,Use of passwords to control access to data to reduce corruption and preserve confidentiality. 
614,The new system should work very fast in retrieving and updating records. 
615,The system should be accurate and easy to operate.
616,Use of a central database to enable real time data capturing and manipulation to facilitate access to laptop details from any computer connected to the database.
617,The system should be able to identify and trap user input error 
618,The system shall not permit input of wrong data type. 
619,The system should allow use of strong passwords and different viewing levels to control access to data to reduce  unauthorized access to data.
620,The system should be easy to use and also allow quick and flexible means of entering information for processing and GUI based on Windows architecture should be employed.
621,The system must have a log on feature limiting individual uses to those functions they have a need to access according to their responsibilities.
622,The system database should be backed up continuously at least once every for hour in order to minimize data loss in the case of a catastrophic failure. 
623,The systems administrator should maintain the system and its databases to ensure integrity and availability of information.
624,The system should reduce the workload and the amount of paper work that has to be filed. 
625,The system shall run over the MPLS network. 
626,The system shall require a password to login the Provider Routers. 
627,The system shall ask user to provide password. 
628,System must allow clients to run a separate routing protocol from one in ISP network. 
629,The system shall allow different clients to run in different OSPF areas. 
630,The system shall ensure device in one ODPF area must not communicate with another in a different OSPF area. 
631,"The system shall ensure that the end user will not experience any significant performance degradation while accessing the system wirelessly or remotely as compared with the access from the wired LAN, "
632,The system shall ensure that the authentication server interact with the database to check for registered user from the database 
633,The system shall ensure that the authentication server communicate with the door controller for opening and closing the door. 
634,The system shall have a database for storing of user accounts and particulars of the registered users. 
635,The system shall allow a lookup of registered users if requested by the authentication server. 
636,The system shall allow a user to search and make a selection of nearby devices for handshake initiation. 
637,The system shall allow a user to change the temporary PIN received from the system. 
638,"The system will stand in-between the client and the server, however, it is associated within the server�s architecture. "
639,The system shall allow traffic data in the form of HTTP requests/packets are sent back and forth from client to server during normal service provision. 
640,"The system functions as an IDS/IPD and aids in relieving traffic targeting the server, if a distributed DOS attack occurs and the server is flooded with the requests."
641,The performance of the system will be measured as the amount of work accomplished by the system and the manner in which the system will function. 
642,The system will be designed so that it will have short time to respond. 
643,The system shall have high throughout which is the output relative to input. 
644,The system should have a high rate of processing the work and the services rendered. 
645,The system shall have high availability wherever it is needed. 
646,The system shall have short time for data transmission. 
647,The system will provide good quality online services.  The system will be easy to use since a straightforward user interface will be provided. 
648,The system shall provide authentication service which is tested when logging into the Django admin panel (back-end) of the system when the user logs into the system by entering the username and the password created by entering a command prompt when running the manage code.  
649,The system shall the user to enter the URL of the local host and port for the admin panel in the browser and proceeds to log in.  This is provided by the Django framework
650,The system shall enable the administrator to log into the system and to upload the captured traffic data into the analysis system so as to be accessed by any other administrators available. 
651,The system shall allow the administrator to browse for the file within their local system and submit it to the analysis platform.  
652,The system shall allow the results containing a list of IP addresses that have been singled out to be viewable on the web based platform. 
653,The system shall be able to detect SQL Injection and XSS vulnerabilities for a website or a web application. 
654,The system shall be able to analyse the detected vulnerability. 
655,The system shall be able to identify acceptable low false positive rates. 
656,The system shall be able to inspect SSL certificate. 
657,The system shall be able to generate a report of the detected and analysed vulnerabilities. 
658,The system will have a very low False Positive Rate so that it can correctly identify the false positive calls and differentiate them from the real vulnerability ones. 
659,The system will have a very low False Negative Rate which means it be able to detect an actual vulnerability when it exists. 
660,The system scanner may accept a certain number of URLS that should test them for selected vulnerabilities. 
661,The system should be able to carefully diagnose the real vulnerabilities when they exist based on conducting formula-based experiments. 
662,The system shall allow for the creation of test-bed environment (web applications and/or websites that can be tested for penetration testing and hacking) where experiments should be conducted.   
663,"The system shall tested in order to monitor its behaviour from accuracy, performance, false positives and false negatives.  "
664,The system should have a friendly user interface for ease of use purposes and for a better user experience. 
665,The contents of the proposed project should be implemented using Python programming language. 
666,The components and the functionalities of the project are associated with a friendly interface design to enhance user�s experience.
667,Parameter inputs are supplied using different user friendly input components that ate based on Graphical User Interface (GUI) concepts. 
668,Reports should be delivered in industry-standard format. 
669,The system downloader shall allow downloading of contents from the server (music store). 
670,The system downloader shall allow trimming of each song into small parts. 
671,The system player shall be responsible for hashing the trimmed parts� names. 
672,The system player fills the look-up table with required data. 
673,The system player locates the hidden folder. 
674,The system player shall be sends contents into the hidden folder. 
675,The system player shall locate and retrieve required contents from the hidden folder. 
676,The system player shall rearrange correctly the random trimmed song parts. 
677,The system player shall play audio files.
678,The system player shall be interact with user using a Graphical User Interface.
679,The system comprises of different modules that operate hand-in-hand to accomplish the desired goal.  
680,The system modules interact with the user through the Graphical User Interface e.g the downloader module is initiated by the user through the download button at the user interface. 
681,The system shall ensure that most of its operations will not be user-oriented but will be in the background such that only the basic operations are required to be known by the user such as how to purchase a song and how to play a song 
682,"The system will be divided into modules i.e downloader, trimmer, player to enhance the maintainability of the system and its troubleshooting "
683,The system shall be able to accomplish that which it was designed for with no glitches. 
684,The system�s ability to produce a trimmed output will deprive an attacker (pirate) access to a single complete song file from any point onwards.  
685,"The player will hide the trimmed files from any direct contact with user or attacker, thereby reliably depriving any illegal sharing of files. "
686,The system shall allow a user to create an account. 
687,The system shall allow a user to login. 
688,The system shall allow a user to view and update details. 
689,The system shall generate a suppression report. 
690,The system shall generate a generalisation report. 
691,The system shall allow authorized user to edit patient details.
692,The system shall perform analysis of network traffic payloads across the organization network 
693,The system shall analyse and record suspicious packets signatures and detects an anomaly if the following packets data matches the recorded threat related signatures. 
694,The system shall use honeypot which records and analyses packets flowing through the network.  A honeypot is a system decoy which is used to make the attacker believe that he/she is attacking the intended system.  
695,The system shall ensure that the honeypot records the attacker�s activities and warns the system administrators in the event of a threat to the system being protected. 
696,The system shall enable creation and editing of user details. 
697,The system shall enable patient management.
698,The system will ensure user validation will be done during login to insure that the user is valid and that the user only has access to his or her permission data.  
699,The system will ensure that general users will only have access through the user interface. 
700,"The system will have consistent interface formats and button sets for all forms in the application, will have a form based interface for all data entry and viewing formats."
701,The system shall provide invisible digital watermarking devised with use of the Discrete Cosine Transformation which encompasses the factors of complex computations and robustness. 
702,The system shall provide security principles such as authentication.
703,The system Digital watermarking platform creates an environment for embedding and extracting the watermark from an image.  
704,The system shall provide a section for verification in the sense that if an image is said to have a watermark it should be able to detect and display the watermark.
705,"The system shall allow an author who desires to protect his/her work from unauthorized use, to upload an image to embed the invisible digital watermark whenever  submitting a piece of art.  "
706,"The system shall in the event that a watermarked image is submitted twice or more by different authors, the administrator shall be able to verify the legitimate owner of the image to protect the copyrights. "
707,"The system shall ensure that, as a watermark is an essential part of data, it must continue even after signal processing and data manipulation including malicious operation that endeavors to remove the watermark. "
708,The system shall offer a high speed in the time taken by the system to embed and retrieve the watermark. 
709,"The system including hardware, firmware and software shall adequately perform the task for which it was designed or intended for a stated time and environment. "
710,The system principle of authentication applies in that the system notifies if there is a watermark on the image or not. 
711,The system shall enable retrieval of the watermark from the image and displaying the similarity of the original image and the watermarked image.  
712,The system ensures that the time taken to embed the watermark is displayed along with the hash value of the image. 
713,The digital watermark system is compatible to all the operating system. 
714,The embedding module of the invisible digital watermark is implemented using the Discrete Cosine Transform (DCT). 
715,The watermark verification platform is implemented using C# and a Graphical User Interface.
716,The system shall capture network traffic between the hypervisor and the subject/monitored virtual machine. 
717,The system shall store captured traffic data from a pre-determined period. 
718,The system shall monitor the virtual machine from hypervisor level. 
719,The system shall detect instructions based on their signatures and classify them according to severity. 
720,The system shall automatically acquire a forensic image of the compromised VM main memory upon detection of a severe intrusion. 
721,The system shall preserve the integrity of acquired forensic imagines by applying integrity checksums and hashes. 
722,The system shall provide reports on currently stored network captures 
723,The system shall provide reports on intrusions their classifications and action taken 
724,The system shall provide reports on failure and success of forensic image acquisition 
725,The system shall provide reports on statistics of acquired images (documentation) 
726,The system ensures integration of all modules including theIntrusionD and memory acquisition modules as a proof of concept 
727, The system shall make use of the web based interface for information and reporting will meet the necessary standards necessary to meet the performance requirements. 
728,"The Intrusion Detection module will be based on a tried and tested architecture and the same will apply to the memory acquisition tool,  to avoid violating the proper coding principles as well as best practices for documentation."
729,"The system shall be easy to install, learn and operate more so for less forensically qualified IT personnel. "
730,The system shall provide access control to the user interface. 
731,The system shall provide a secure channel of communication between the backend system and the web user interface. 
732,"The reports for theIntrusionD Module as well as the reports and result of the Evidence Collection Module will be presented on a web based graphical user interface using the python web framework, Flask. "
733,The system shall provide log in and logout capabilities which can be seen as the first line of security which most systems should possess for authentication and accountability purposes. 
734,"The system shall provide compression ability so as to save data usage, time and storage space and also decompression option for the file to be presentable or readable to the end user. "
735,"The system shall have encrypt and decrypt modules in place to attain better and improved security, for containing privacy invasions in overall. "
736,The system shall provide file type filtering so as to avoid overloading the normal flow information with unnecessary files. 
737,The system shall allow processed files to be moved over to the end of communication channel that is from one machine to the other. 
738,"The system provides a light weight application, implying that it has that capability to cater for those machines which are very slow in terms of processing to achieve a better service. "
739,"The system shall provide through the database ability to search and find a certain competent doctor who can provide help promptly, with the capability to give feedback to user in the case that no doctor is assigned in the first place.  "
740,The system offers little room for a delayed data transmissions and system failures due to error handling procedures and feedbacks. 
741,"The system offers ability to send and receive messages and files without losing part of the data, quality and exact size retaining. "
742,The system is a lightweight app which has all the algorithms and libraries engraved within itself for easy management of information which that app would be working with thus making its maintenance easy and simple. 
743,"The system deliverable is a standalone one, which can be an executable that can also be easily taken to a desktop machine and easily used on windows platform.  "
744,The system executable files can be uploaded on online storages and can be downloaded and used by the next person on the other end. 
745,"The system shall provide a simple to use interface, for computer novices to be able to select files to be compressed and encrypted and send them without any much difficulties whilst in the back and achieving our goals. "
746,The system shall integrate the instructions procedures or operations guide into the deliverables so that whenever one fails to perform a certain action he/she has somewhere to refer to. 
747,The system shall be able to detect an approaching figure. 
748,The system shall be able to input digits.
749,The system shall be able to display the punched digits. 
750,The system shall be able to authenticate pin entered. 
751,The system shall be able to open the door when the pin is correct. 
752,The system shall ensure that buzzer must ring if 3 consecutive wrong attempts are entered.  
753,The system shall ensure that GSM must send an SMS alert message when 3 consecutive wrong attempts are entered. 
754,The system shall be secured against environmental threats and this is one of its prime function. 
755,The system can be used in other platforms such as switching circuit or concerted to home security. 
756,The system components are not going to be degraded by weather changes such as heat or humidity even the casing will be designed to suit the prevailing weather conditions. 
757,The system shall be reliable as routine maintenance shall be done often.
758,"The system shall be fast in intrusion response, to help in stopping the intensity of the damage or mitigation of the risk.  "
759,The system is designed to give the user many options that include switching 
760,"The system can be configured to work with a camera, a PC and other access control system to enhance multiple factor authentication. "
761,"The system consists of both hardware and software, it is relatively simple to integrate it to other systems. "
762,The system will cater for its ability to be extended with more features and functionalities without compromising its original one or affecting the operations of the user. 
763,"This system is not complex, it is an Intelligent engineering artifact that is user-friendly, it only requires the attention of the security personnel and their reaction to its report. "
764,The system shall be able to detect motion within the camera feed and capture and image where motion is detected. 
765,The system shall be able to detect faces in the captured image to see there are human faces within the image. 
766,The system shall be able to recognize the faces detected with the image. 
767,The system shall be able to send an SMS and an Email to security when the detected face is not in the system�s database. 
768,The system ISAAS will have scalable speed to meet the response time and performance targets and it should be able to serve detection concurrently without any delay or unrealistic waiting time for a response. 
769,The system should be efficient to use and it takes less time to accomplish a particular task 
770,The system will ensure users have a good experience of using the system as well as their ability to quickly navigate the self explanatory design of the system. 
771,The system shall be safeguarded against deliberate and intrusive faults from internal and external sources as it has proper controls such as user input validations and anti-software tempering 
772,"The system shall offer authentication, authorization, configuration management to prevent access to admin console. "
773,The system shall be available to users all the time to ensure a 24/7 service delivery and give results in a short period of time. 
774,The proposed system shall be designed such that any glitch can be fixed in no time to restore service to users and it will allow adding functionality easily. 
775,"The system shall allow to create and enforce secure coding practices through strictly identifying the sources of required data, identifying the data items and data structures required for the exchange. "
776,"The system shall be able to clearly identify relevant protocols for the data exchange, document or reference the technical requirements for data exchange including: the source, data items, data structures, timing method, and protocols. "
777,The system shall be able to allow cloud user to register and create an account.  
778,"The system shall capture user details such as user name, id number, email address, mobile number etc in the registration process. "
779,"The system must generate a shared encryption key, upon registration. "
780,The system shall be able to allow the user to generate their ECC public and private keys.  These keys are to be used for the encryption of the AES encryption key and also for PDP. 
781,The system shall be able to allow the user to upload and download stored files.  The system shall provide a platform that allows the user to upload files for storage and also to retrieve the files by downloading them when required. 
782,The system shall be able to secure uploaded files using AES algorithm with a 256-bit key.  The system shall automatically encrypt the files that will be uploaded by the user for storage using a 256-bit encryption key. 
783,The system shall be able to allow the user to check the integrity of stored data through the PDP functionality. 
784,The system can perform well in the web environments and also with huge files. 
785,The system can allow multiple clients to login and save their files to the remote server. 
786,The system is also easy to use and user friendly as it is based and implemented on a website and has an interactive interface.  
787,The system has clearly defined links and buttons that show the various functionalities that the user may require. 
788,The system is web based and therefore guarantees maximum availability of data to the cloud data owners. 
789,"The system is easy to maintain as it can easily be integrated with other systems, modified or reused on other different platforms "
790,"The system is developed using python programming which is platform independent meaning that it can be deployed used on any platform, be it windows, Linux or MAC OS.  "
791,The web interface is done using CSS and bootstrap which makes it possible to use the system on mobile phones. 
792,The proposed system is efficient as it is based on the most secure and efficient encryption algorithms.
793,PDP reduces the amount of time and computational efforts that would be required if the data owner was to download the data and then check if the data was modified manually. 
794,The system shall be user friendly and make it easy for the users to navigate through the web materials. 
795,The system shall not keep the data owners waiting for long time while waiting for it to process their requests and respond. 
796,The system shall be interactive and provides help information to help the clients and give them guidance on how to use the system. 
797,The system must be portable in such a way that it can be usable on different devices with different screen sizes without difficulties.
798,"The system enhances security through the use of more secure and efficient enciphering algorithms, that is Advanced encryption standard with a 256-bit key and Elliptic curve cryptography.  "
799,"The system shall implement a combination of cryptographic algorithms that are secure and have proven to be unbreakable by the current technologies, hence using these algorithms collectively strengthens the security of the system. "
800,The proposed system is meant to use a two-factor user authentication system which ensures that only the registered and legitimate user is able to access the system and upload or view the data.  
801,"The system shall ensure that once the account holder has provided a correct login password,they will receive a OTP or code sent via the email or the data owner�s mobile phone."
802,The system security shall add an extra layer of defense making it difficult for an adversary to successfully gain unauthorized access to the system and compromise the integrity of the stored data. 
803,The system has got an audit or logging mechanism which enables the user to check and view if there were other malicious activities that have been happening when after they logged out of the system.  
804,The system shall be able to show a section which displays the last time a user logged in the system and a summary of the activities they did on the system upon logging in. 
805,The system implements a PDP scheme which allows the user to audit and check if the untrusted server or an adversary did not compromise the integrity of the uploaded data. 
806,The system shall be an E-government content management system 
807,The system shall implement authentication using PKI. 
808,The system shall allow a user to register through sponsorship from relevant Human Resources. 
809,The system shall allow a user to log into system and authenticated. 
810,The system shall allow a user to view content or dashboard. 
811,The system shall allow a user to manage their own password. 
812,The system shall allow a user to search for resources. 
813,The system shall allow a user to do CRUD operations on record. 
814,"The system shall allow a user to be authenticated through the use of digitally signed certificates, and again single-sign-on functionality will be fused into the system to allow once off authentication as long as the session is deemed active and valid. "
815,The system shall allow user authentication process to be done through  trusted parties via the internet 
816,The system shall reduce the occurrence of failure in the system.  
817,"The system will be using local Microsoft based certificates, thus the intention is to ensure availability of the certificate authority at all times."
818,The system shall provide redundancy to avoid a single point of failure and reduce interruptions which will render the system unusable. 
819,The system will employ encryption at the database side and use HTTPS when accessing networked resources over the internet.  
820,"The system shall implement a policy on technical issues like renewal of certificates and lost eIDs, to cater for all eventualities. "
821,The system will work across platforms taking advantage of web browsers since it will be portal based.  This entails that the EGOVAUTH system will be portable as long as there is internet connectivity. 
822,The system shall offer FuGUI statistical presentation of email spam detection and filtered emails. 
823,The system shall allow storage of Emails in different folders as spam and ham emails. 
824,The system shall enable user interaction to move to spam as Blacklisting and move to Ham folder as whitelisting. 
825,PlutoMail will offer spam protection at server level and eliminates the need to install and update antispam software on each desktop.  
826,"PlutoMail offer a fast set-up and a high spam detection rate using Bayesian analysis and other methods � no configuration required, very low false positives through its automatic whitelist "
827,The system is able to automatically adapt to the email environment to constantly tune and improve spam detection.  
828,"The system shall enable sorting of spam to users� junk email folders.  Reporting, mail archiving, monitoring and POP3 downloading. "
829,The PlutoMail will have scalable speed to meet the response time and performance targets.  
830,The system shall be able to serve multiple users concurrently without any delay or unrealistic waiting time for a response. 
831,The system shall be efficient to use that it takes less time to accomplish a particular task. 
832,The system shall be easy to learn that its operation can be learned by observing the software or system. 
833,The system shall simplify business operations. 
834,"The system shall provide a user with an interactive Email client that will allow them to send, receive and archive emails with destiny folder that will separate legitimate emails and illegitimate emails. "
835,The system shall be able to allow the model as it learns new features it should also be able to learn in real-time from user actions like moving an email to spam and from spam folders interchangeably.
836,The interface will have to satisfy these objectives or requirements on any device and platform. 
837,The system shall allow a user to send email. 
838,The system shall allow a user to check new email. 
839,The system shall allow a user to delete email. 
840,The system shall allow a user to view spam. 
841,The system shall allow a user to move email to or from spam folder. 
842,The system shall allow a user to view statistical report of the filter engine and possible sources of trouble over periods. 
843,The system shall allow doctors to register and create an account and upon registration allow the system to generate the doctors� public and private keys. 
844,The system shall allow the radiologist to compress the images using optimized lossless compression methods. 
845,"The system shall allow the radiologist to, encrypt and upload the images to the cloud. "
846,The system shall enable the radiologist to verify the integrity of stored images through the PoR functionality. 
847,"The system shall allow the doctors to download, decrypt and decompress the images. "
848,The system can perform well in the web environments and also with huge files.  
849,The system shall allow multiple clients to login and save their files to the remote server.
850,The system shall be user friendly and easy to use as it is based and implemented on a website and has an interactive interface.  
851,The system has clearly defined links and buttons that show the various functionalities that the user may require. 
852,"System shall provide access only to legitimate users, resist unathorised users, accidental or unintended usage. "
853,The system shall be a simple and attractive website with a clear presentation of elements. 
854,The system shall be user sociable and make it easy for the users to navigate through the web materials. 
855,"The system shall be responsive, not keeping the data owners waiting for long time while waiting for it to process their requests and respond. "
856,The system shall be interactive and provides help information to help the clients and give them guidance on how to use the system. 
857,The system shall be portable in such a way that it can be unable on different devices with different screen sizes without difficulties. 
858,The system shall allow Cases Reported to be recommended to the closest police station. 
859,The system shall allow Analysis of locations prevalent crime using crowd-sourced data and reports data. 
860,"The system shall allow local Law Enforcement Agencies to track cases, location of reporter, receive crimes reported based on the reporter�s current location. "
861,The system shall allow the publishing and viewing of Wanted/Missing Persons. 
862,The system shall allow the Submission and responding of complaints and alerts. 
863,The system shall allow users to track case progress on previously reported cases. 
864,The system shall allow users to call the nearest police station in situations of emergency using their live location. 
865,The system shall accommodate high traffic and be able to maximize its performance without glitches since the system will be used by the nation as a whole hence the users shall be many and using it concurrently.  
866,The system application must be on very high standard servers to accommodate the huge amount of data and requests for access to the server from a large number of users at the same time. 
867,The system database must be located in a special secure server and must be backups to other servers directly at specific times to avoid loss and damage of data 
868,The system shall minimize access to the system at the police side to only authorized police officers. 
869,"The system shall allow the user to learn, operate, prepare inputs and interpret outputs through interaction with the software system easily without any complications. "
870,"The system shall meet user�s needs regarding ease of entry, ease of learning, ease of handling, likability, and possible metrics.  Usability"
871,"The system shall be available at all times, meaning the user can access it using a device application which addresses the user concern for how dependable the system is during normal operating times. "
872,"The system must be considered downtime impact on the business, transport unavailability and minimizing unavailability."
873,The system shall allow a user to listen for any port scan on university WIFI network. 
874,The system shall allow a user to block internet to the computer doing port scanning. 
875,The system shall allow a user to push warning script to the rogue node.
876,The system shall allow a user to check netstat and recent network connections to see if rogue node it a victim of pivoting and if so trace the attacking machine. 
877,The system shall allow a user to recover unique identifiers of the node which was used to generate the node�s unique ID/fingerprint upon registration when the owner entered/joined the university with it 
878,The system shall allow a user to note hostname of rogue node as well as the SSID of the network it is connected to as to know from which section on campus is the attack being done.
879,The system shall allow a user to check with students laptop and university PC register and search for device matching the rogue node and corresponding student and student personal details. 
880,The system shall allow a user to display message on rogue note screen warning the student by name that port scanning is not allowed and this is automatically added to the student�s record if such an offence is repeated more than once. 
881,The system shall allow a user to generate monthly reports which can be viewed by network admin when necessary.  
882,The system shall allow background processes to be monitoring for any scan and relaying information to the registry about any unusual activities.
883,The system shall allow time to fetch student details from the database to be 2 seconds (To be tested during development)�. 
884,The software will work as long as the server upon which it is installed in running.  There are no time limits to using the software; however it is also possible to stop the software from running should there be need.  
885,"The software is a safety-critical one and is used to perform last line of defense protection against attacks, since defects in safety-critical software can lead to serious service disruption or server down time. "
886,The software depends on the operating system speed and efficiency in its execution.  
887,The system�s listening for scanning is done while listening to the OS activities.  
888,"The system does not continuously interact with the database, it does seek student information from the university database only when the administrator requests.  "
889,The capacity to do things right will depend on the monitoring tasks definition.  
890,"The software will look at port scanning only on the host it will be deployed on, this will devote all the listen to one part of the many policies in a computer. "
891,"The software will undergo all types of testing like, performance testing, stress testing and many others   "
892,"The product can be corrected by updates, patches and with newer versions when required. "
893,HID is designed to work on windows platform from Windows 7 and any later version of windows but the software needs some adjustments for it to work on Linux platform. 
894,The software is delivered with a user manual and once installed the software is easy to run.  
895,The user of the software who is the administrator logs in and sets the software to run and give desired alerts from PCs scanning the server. 
896,The system will permit user credentials registration. 
897,The system shall allow a debit/credit card to be activated. 
898,The system shall allow buying patterns of the purchases to be analyzed.
899,The system shall allow anomalies to be curbed after detection. 
900,The system allows user re-verification by the usage of AVS and distinct security questions. 
901,The system�s time to react to tolerating the exchange to happen or dismissing it hindering the card and cautioning the head be brief in order to advance an easy to understand framework. 
902,The system shall offer high throughput which is the yield in respect to the measure of going through a framework from contribution to yield. 
903,The framework should exhibit a high rate of work handling and that of administrations� clients.  
904,"The system shall enable administration services from login, doing the exchange and in addition client re-verification.  "
905,The framework ought to be accessible wherever it is required.  At whatever point the clients needs to make a purchase
906,The system shall provision good quality online services making it easy to use since an up-front user interface will be delivered. 
907,The main system is centered around security on online transactions hence it is secure. 
908,The System shall be able to calculate maximum soil water deficit. 
909,The System shall be able to control a water pump for the application of water to the crops being irrigated.
910,The System shall be able to save water by reducing water applied to plants. 
911,The System shall be able to autonomously schedule irrigation without farmer input. 
912,The system should be simple and user friendly.
913,The system should allow for quick error recovery. 
914,The system user interface should be almost self-explanatory. 
915,The system shall be compatible with different desktop platform. 
916,"The System shall allow creation of users (Administrator, Lecturer, Student) accounts."
917,The System shall be able to allow lecturer to add students� final marks. 
918,The System shall be able to allow student to view final results and degree class. 
919,The System shall be able to allow students to view recommended careers for them.
920,The career recommender should be simple and user friendly. 
921,The system should allow room for quick error recovery.  
922,The user interface should be easy to navigate and should be self-explanatory. 
